date,regime_id,regime_name,regime_probability,model_version
2024-07-29 04:00:00+00:00,3,CRASH,1.0,hmm-20260420-192346
2024-07-30 04:00:00+00:00,3,CRASH,1.0,hmm-20260420-192346
2024-07-31 04:00:00+00:00,3,CRASH,1.0,hmm-20260420-192346
2024-08-01 04:00:00+00:00,3,CRASH,1.0,hmm-20260420-192346
2024-08-02 04:00:00+00:00,3,CRASH,1.0,hmm-20260420-192346
2024-08-05 04:00:00+00:00,3,CRASH,1.0,hmm-20260420-192346
2024-08-06 04:00:00+00:00,3,CRASH,1.0,hmm-20260420-192346
2024-08-07 04:00:00+00:00,3,CRASH,1.0,hmm-20260420-192346
2024-08-08 04:00:00+00:00,3,CRASH,1.0,hmm-20260420-192346
2024-08-09 04:00:00+00:00,3,CRASH,1.0,hmm-20260420-192346
2024-08-12 04:00:00+00:00,3,CRASH,1.0,hmm-20260420-192346
2024-08-13 04:00:00+00:00,3,CRASH,1.0,hmm-20260420-192346
2024-08-14 04:00:00+00:00,3,CRASH,1.0,hmm-20260420-192346
2024-08-15 04:00:00+00:00,3,CRASH,1.0,hmm-20260420-192346
2024-08-16 04:00:00+00:00,3,CRASH,1.0,hmm-20260420-192346
2024-08-19 04:00:00+00:00,3,CRASH,0.9999999999993812,hmm-20260420-192346
2024-08-20 04:00:00+00:00,3,CRASH,0.9999999999999976,hmm-20260420-192346
2024-08-21 04:00:00+00:00,1,EUPHORIA,0.9999999999999998,hmm-20260420-192346
2024-08-22 04:00:00+00:00,1,EUPHORIA,1.0,hmm-20260420-192346
2024-08-23 04:00:00+00:00,1,EUPHORIA,1.0,hmm-20260420-192346
2024-08-26 04:00:00+00:00,1,EUPHORIA,1.0,hmm-20260420-192346
2024-08-27 04:00:00+00:00,1,EUPHORIA,1.0,hmm-20260420-192346
2024-08-28 04:00:00+00:00,1,EUPHORIA,1.0,hmm-20260420-192346
2024-08-29 04:00:00+00:00,1,EUPHORIA,1.0,hmm-20260420-192346
2024-08-30 04:00:00+00:00,1,EUPHORIA,1.0,hmm-20260420-192346
2024-09-03 04:00:00+00:00,1,EUPHORIA,1.0,hmm-20260420-192346
2024-09-04 04:00:00+00:00,1,EUPHORIA,1.0,hmm-20260420-192346
2024-09-05 04:00:00+00:00,1,EUPHORIA,1.0,hmm-20260420-192346
2024-09-06 04:00:00+00:00,1,EUPHORIA,0.9999999999221889,hmm-20260420-192346
2024-09-09 04:00:00+00:00,1,EUPHORIA,0.9999999075922689,hmm-20260420-192346
2024-09-10 04:00:00+00:00,1,EUPHORIA,0.9999999999999998,hmm-20260420-192346
2024-09-11 04:00:00+00:00,1,EUPHORIA,1.0,hmm-20260420-192346
2024-09-12 04:00:00+00:00,1,EUPHORIA,1.0,hmm-20260420-192346
2024-09-13 04:00:00+00:00,1,EUPHORIA,0.9999999999983678,hmm-20260420-192346
2024-09-16 04:00:00+00:00,1,EUPHORIA,0.9999999887813681,hmm-20260420-192346
2024-09-17 04:00:00+00:00,1,EUPHORIA,0.999122842915713,hmm-20260420-192346
2024-09-18 04:00:00+00:00,1,EUPHORIA,0.9989952350241796,hmm-20260420-192346
2024-09-19 04:00:00+00:00,1,EUPHORIA,0.999999999884458,hmm-20260420-192346
2024-09-20 04:00:00+00:00,1,EUPHORIA,0.9999999999999982,hmm-20260420-192346
2024-09-23 04:00:00+00:00,1,EUPHORIA,0.9999996247288436,hmm-20260420-192346
2024-09-24 04:00:00+00:00,1,EUPHORIA,0.999999999668727,hmm-20260420-192346
2024-09-25 04:00:00+00:00,1,EUPHORIA,0.9999998489631455,hmm-20260420-192346
2024-09-26 04:00:00+00:00,1,EUPHORIA,0.9999999813767745,hmm-20260420-192346
2024-09-27 04:00:00+00:00,1,EUPHORIA,0.9999999519122184,hmm-20260420-192346
2024-09-30 04:00:00+00:00,1,EUPHORIA,0.9999950793071148,hmm-20260420-192346
2024-10-01 04:00:00+00:00,1,EUPHORIA,0.9999972550801906,hmm-20260420-192346
2024-10-02 04:00:00+00:00,1,EUPHORIA,0.9999214533989225,hmm-20260420-192346
2024-10-03 04:00:00+00:00,1,EUPHORIA,0.9906476239253601,hmm-20260420-192346
2024-10-04 04:00:00+00:00,1,EUPHORIA,0.9998406105190112,hmm-20260420-192346
2024-10-07 04:00:00+00:00,0,NEUTRAL,0.6564218261304681,hmm-20260420-192346
2024-10-08 04:00:00+00:00,0,NEUTRAL,0.8795810803512334,hmm-20260420-192346
2024-10-09 04:00:00+00:00,0,NEUTRAL,0.5827867842840779,hmm-20260420-192346
2024-10-10 04:00:00+00:00,1,EUPHORIA,0.9950864715828162,hmm-20260420-192346
2024-10-11 04:00:00+00:00,1,EUPHORIA,0.9685671848235371,hmm-20260420-192346
2024-10-14 04:00:00+00:00,1,EUPHORIA,0.9999921078720815,hmm-20260420-192346
2024-10-15 04:00:00+00:00,1,EUPHORIA,0.9999939258893428,hmm-20260420-192346
2024-10-16 04:00:00+00:00,1,EUPHORIA,0.9999999971916866,hmm-20260420-192346
2024-10-17 04:00:00+00:00,1,EUPHORIA,0.586708076874766,hmm-20260420-192346
2024-10-18 04:00:00+00:00,1,EUPHORIA,0.7853015455854596,hmm-20260420-192346
2024-10-21 04:00:00+00:00,1,EUPHORIA,0.9846465519010581,hmm-20260420-192346
2024-10-22 04:00:00+00:00,4,BEAR,0.993467643280752,hmm-20260420-192346
2024-10-23 04:00:00+00:00,4,BEAR,0.9999999998842224,hmm-20260420-192346
2024-10-24 04:00:00+00:00,4,BEAR,1.0,hmm-20260420-192346
2024-10-25 04:00:00+00:00,4,BEAR,1.0,hmm-20260420-192346
2024-10-28 04:00:00+00:00,4,BEAR,1.0,hmm-20260420-192346
2024-10-29 04:00:00+00:00,4,BEAR,1.0,hmm-20260420-192346
2024-10-30 04:00:00+00:00,4,BEAR,0.9999999999998324,hmm-20260420-192346
2024-10-31 04:00:00+00:00,4,BEAR,0.9999913143060658,hmm-20260420-192346
2024-11-01 04:00:00+00:00,4,BEAR,0.9998234975269478,hmm-20260420-192346
2024-11-04 05:00:00+00:00,4,BEAR,0.999999929678795,hmm-20260420-192346
2024-11-05 05:00:00+00:00,4,BEAR,0.9999703438558504,hmm-20260420-192346
2024-11-06 05:00:00+00:00,1,EUPHORIA,0.9992051982258482,hmm-20260420-192346
2024-11-07 05:00:00+00:00,1,EUPHORIA,0.9999999999999998,hmm-20260420-192346
2024-11-08 05:00:00+00:00,1,EUPHORIA,0.9999999999985578,hmm-20260420-192346
2024-11-11 05:00:00+00:00,1,EUPHORIA,0.9999932225788224,hmm-20260420-192346
