timestamp,open,high,low,close,volume
2022-12-06 05:00:00+00:00,165.41,165.56,158.23,159.87,544792.0
2022-12-07 05:00:00+00:00,157.725,161.83,156.76,161.16,666649.0
2022-12-08 05:00:00+00:00,162.58,171.79,159.61,171.66,1037869.0
2022-12-09 05:00:00+00:00,171.755,175.81,169.76,169.99,1038087.0
2022-12-12 05:00:00+00:00,170.4,175.35,168.03,175.35,871682.0
2022-12-13 05:00:00+00:00,185.505,187.83,177.12,180.71,1041620.0
2022-12-14 05:00:00+00:00,179.98,182.5,174.24,176.74,932851.0
2022-12-15 05:00:00+00:00,171.655,173.15,167.0,169.5,1635780.0
2022-12-16 05:00:00+00:00,168.61,170.35,164.12,165.73,611097.0
2022-12-19 05:00:00+00:00,165.805,166.02,161.48,162.59,681896.0
2022-12-20 05:00:00+00:00,160.57,163.08,158.53,160.88,496545.0
2022-12-21 05:00:00+00:00,161.08,166.24,161.03,164.96,510564.0
2022-12-22 05:00:00+00:00,160.58,160.99,148.83,153.42,999462.0
2022-12-23 05:00:00+00:00,151.9,153.35,148.85,152.07,571491.0
2022-12-27 05:00:00+00:00,150.76,150.815,140.57,141.22,916099.0
2022-12-28 05:00:00+00:00,139.275,142.55,138.85,140.385,838009.0
2022-12-29 05:00:00+00:00,144.165,146.82,142.27,146.01,677107.0
2022-12-30 05:00:00+00:00,143.12,146.27,142.42,146.15,437836.0
2023-01-03 05:00:00+00:00,148.655,149.96,141.0,143.16,781290.0
2023-01-04 05:00:00+00:00,145.68,148.49,142.49,147.49,849020.0
2023-01-05 05:00:00+00:00,144.87,145.6,141.5,142.7,567008.0
2023-01-06 05:00:00+00:00,144.7,150.09,140.34,148.6,735783.0
2023-01-09 05:00:00+00:00,153.17,160.46,151.52,156.38,900099.0
2023-01-10 05:00:00+00:00,154.86,159.61,154.83,159.13,579534.0
2023-01-11 05:00:00+00:00,158.405,160.16,155.71,160.07,649407.0
2023-01-12 05:00:00+00:00,161.11,166.34,154.93,165.14,1055887.0
2023-01-13 05:00:00+00:00,162.42,169.22,161.67,168.96,732697.0
2023-01-17 05:00:00+00:00,169.0,177.23,169.0,176.99,918410.0
2023-01-18 05:00:00+00:00,176.755,178.705,172.83,173.745,928608.0
2023-01-19 05:00:00+00:00,170.41,171.97,167.32,167.645,969621.0
2023-01-20 05:00:00+00:00,170.18,178.45,168.27,178.38,1049505.0
2023-01-23 05:00:00+00:00,180.68,192.435,178.21,191.91,1109207.0
2023-01-24 05:00:00+00:00,188.34,194.83,188.29,192.59,534661.0
2023-01-25 05:00:00+00:00,189.07,193.66,185.8,193.34,937467.0
2023-01-26 05:00:00+00:00,197.19,201.41,192.8,197.98,930152.0
2023-01-27 05:00:00+00:00,194.59,206.28,194.14,203.57,1044397.0
2023-01-30 05:00:00+00:00,199.62,201.34,191.52,191.63,919502.0
2023-01-31 05:00:00+00:00,191.75,196.82,189.53,195.42,986153.0
2023-02-01 05:00:00+00:00,197.07,211.88,196.16,209.45,1076683.0
2023-02-02 05:00:00+00:00,210.22,219.48,209.705,217.15,1031656.0
2023-02-03 05:00:00+00:00,209.92,217.375,207.95,210.98,887293.0
2023-02-06 05:00:00+00:00,207.94,215.68,207.88,210.89,686001.0
2023-02-07 05:00:00+00:00,213.695,222.55,211.52,221.72,883512.0
2023-02-08 05:00:00+00:00,223.86,228.735,220.22,222.17,892849.0
2023-02-09 05:00:00+00:00,226.31,230.19,221.25,223.37,899299.0
2023-02-10 05:00:00+00:00,216.73,220.7,208.13,212.59,917987.0
2023-02-13 05:00:00+00:00,215.36,220.455,209.67,217.85,525486.0
2023-02-14 05:00:00+00:00,215.72,230.46,213.9,229.71,756301.0
2023-02-15 05:00:00+00:00,225.475,228.41,221.15,227.61,554991.0
2023-02-16 05:00:00+00:00,221.245,225.45,219.36,220.0,695092.0
2023-02-17 05:00:00+00:00,216.36,217.24,209.79,213.86,741153.0
2023-02-21 05:00:00+00:00,209.625,214.79,206.37,206.55,494408.0
2023-02-22 05:00:00+00:00,207.28,210.84,204.22,207.69,740387.0
2023-02-23 05:00:00+00:00,234.46,238.8,230.25,236.51,2079187.0
2023-02-24 05:00:00+00:00,231.78,234.67,229.53,232.91,830589.0
2023-02-27 05:00:00+00:00,236.86,238.67,234.62,234.98,543239.0
2023-02-28 05:00:00+00:00,233.59,238.23,232.215,232.215,534382.0
2023-03-01 05:00:00+00:00,232.04,232.53,225.11,227.06,549187.0
2023-03-02 05:00:00+00:00,224.715,233.8,224.32,233.06,493603.0
2023-03-03 05:00:00+00:00,233.32,239.0,231.37,238.89,532130.0
2023-03-06 05:00:00+00:00,239.21,242.47,234.96,235.57,508532.0
2023-03-07 05:00:00+00:00,236.08,241.23,232.44,232.92,755697.0
2023-03-08 05:00:00+00:00,234.47,241.97,234.29,241.84,668719.0
2023-03-09 05:00:00+00:00,241.84,244.5,233.89,234.47,744181.0
2023-03-10 05:00:00+00:00,234.02,236.25,227.29,229.71,799957.0
2023-03-13 04:00:00+00:00,227.405,232.77,223.12,229.62,620573.0
