timestamp,open,high,low,close,volume
2022-12-06 05:00:00+00:00,287.41,287.58,280.265,281.79,644216.0
2022-12-07 05:00:00+00:00,280.36,282.55,278.88,280.42,432457.0
2022-12-08 05:00:00+00:00,281.88,284.795,279.81,283.97,562920.0
2022-12-09 05:00:00+00:00,282.85,285.605,281.65,282.08,409336.0
2022-12-12 05:00:00+00:00,282.19,285.6,281.18,285.6,405100.0
2022-12-13 05:00:00+00:00,296.78,296.81,286.03,288.64,688520.0
2022-12-14 05:00:00+00:00,288.04,291.35,283.32,286.44,717007.0
2022-12-15 05:00:00+00:00,282.23,282.91,275.71,276.85,940130.0
2022-12-16 05:00:00+00:00,276.2,277.76,272.65,274.19,764887.0
2022-12-19 05:00:00+00:00,273.87,273.87,268.5,269.91,481125.0
2022-12-20 05:00:00+00:00,268.565,271.265,266.98,269.55,480087.0
2022-12-21 05:00:00+00:00,270.64,274.77,269.75,273.55,483162.0
2022-12-22 05:00:00+00:00,270.26,270.46,262.51,266.79,917819.0
2022-12-23 05:00:00+00:00,265.41,268.0,263.66,267.34,280505.0
2022-12-27 05:00:00+00:00,266.78,266.78,263.125,263.46,577382.0
2022-12-28 05:00:00+00:00,263.19,265.36,259.745,260.04,1131232.0
2022-12-29 05:00:00+00:00,262.99,267.4,262.28,266.475,865585.0
2022-12-30 05:00:00+00:00,263.35,266.37,262.34,266.37,524404.0
2023-01-03 05:00:00+00:00,268.63,270.09,262.32,264.49,402071.0
2023-01-04 05:00:00+00:00,266.7,267.395,262.6,265.76,654650.0
2023-01-05 05:00:00+00:00,263.97,264.065,261.29,261.58,510243.0
2023-01-06 05:00:00+00:00,263.295,269.9,260.38,268.71,652106.0
2023-01-09 05:00:00+00:00,270.84,275.29,269.935,270.45,719596.0
2023-01-10 05:00:00+00:00,269.48,272.88,269.0,272.88,423201.0
2023-01-11 05:00:00+00:00,274.03,277.66,273.165,277.56,599239.0
2023-01-12 05:00:00+00:00,278.34,279.975,273.76,279.08,676105.0
2023-01-13 05:00:00+00:00,276.43,281.2,276.37,280.94,409279.0
2023-01-17 05:00:00+00:00,280.85,282.83,279.67,281.445,475395.0
2023-01-18 05:00:00+00:00,283.17,284.66,277.685,277.805,603389.0
2023-01-19 05:00:00+00:00,276.11,277.37,273.96,275.0,492278.0
2023-01-20 05:00:00+00:00,276.68,283.01,275.82,282.84,736764.0
2023-01-23 05:00:00+00:00,283.54,290.2,282.75,289.1,930018.0
2023-01-24 05:00:00+00:00,287.5,289.47,286.78,288.46,574001.0
2023-01-25 05:00:00+00:00,283.72,288.32,281.21,287.58,642275.0
2023-01-26 05:00:00+00:00,291.39,293.51,288.56,293.485,623970.0
2023-01-27 05:00:00+00:00,292.08,298.235,292.0,296.16,718088.0
2023-01-30 05:00:00+00:00,292.84,294.37,289.92,290.01,780744.0
2023-01-31 05:00:00+00:00,290.39,294.72,290.24,294.68,561792.0
2023-02-01 05:00:00+00:00,294.42,303.3,292.39,301.02,687618.0
2023-02-02 05:00:00+00:00,307.56,313.665,306.8,311.75,1111955.0
2023-02-03 05:00:00+00:00,304.89,312.315,304.56,306.15,874599.0
2023-02-06 05:00:00+00:00,303.5,305.84,302.25,303.63,540966.0
2023-02-07 05:00:00+00:00,303.48,311.0,302.33,310.045,757292.0
2023-02-08 05:00:00+00:00,308.48,309.45,303.69,304.46,658666.0
2023-02-09 05:00:00+00:00,308.915,308.97,300.23,301.61,716676.0
2023-02-10 05:00:00+00:00,299.49,301.54,297.26,299.71,790502.0
2023-02-13 05:00:00+00:00,301.1,305.06,299.93,304.495,556479.0
2023-02-14 05:00:00+00:00,302.91,307.69,300.93,306.71,736026.0
2023-02-15 05:00:00+00:00,304.9,309.25,304.29,309.25,611154.0
2023-02-16 05:00:00+00:00,304.36,308.37,303.15,303.18,676499.0
2023-02-17 05:00:00+00:00,301.07,301.76,298.13,301.09,780930.0
2023-02-21 05:00:00+00:00,297.21,298.71,293.895,293.93,729607.0
2023-02-22 05:00:00+00:00,294.73,296.09,292.6,294.14,587105.0
2023-02-23 05:00:00+00:00,297.96,298.1,292.57,296.88,660736.0
2023-02-24 05:00:00+00:00,291.44,292.88,290.05,291.79,692195.0
2023-02-27 05:00:00+00:00,295.21,296.44,293.35,293.96,410046.0
2023-02-28 05:00:00+00:00,293.3,296.07,293.04,293.56,438130.0
2023-03-01 05:00:00+00:00,293.06,293.9,290.24,291.03,509452.0
2023-03-02 05:00:00+00:00,288.6,294.43,288.38,293.69,591513.0
2023-03-03 05:00:00+00:00,295.45,299.92,294.89,299.71,589148.0
2023-03-06 05:00:00+00:00,301.1,303.98,299.83,300.03,686198.0
2023-03-07 05:00:00+00:00,300.02,301.01,295.72,296.36,904425.0
2023-03-08 05:00:00+00:00,296.78,298.42,294.965,297.83,740976.0
2023-03-09 05:00:00+00:00,298.31,300.95,291.86,292.6,1149064.0
2023-03-10 05:00:00+00:00,292.78,294.34,287.47,288.54,1074211.0
2023-03-13 04:00:00+00:00,286.66,294.44,285.24,290.7,1050955.0
2023-03-14 04:00:00+00:00,294.38,297.93,293.46,297.35,857947.0
2023-03-15 04:00:00+00:00,294.49,299.235,293.27,298.85,1034085.0
2023-03-16 04:00:00+00:00,298.0,307.17,297.255,306.8,1069409.0
2023-03-17 04:00:00+00:00,306.7,309.08,303.43,305.32,888285.0
2023-03-20 04:00:00+00:00,304.3,306.29,302.01,305.74,769090.0
2023-03-21 04:00:00+00:00,307.93,310.74,306.41,310.23,618504.0
2023-03-22 04:00:00+00:00,310.25,315.19,305.95,306.05,821367.0
2023-03-23 04:00:00+00:00,309.89,314.08,307.06,309.72,1009362.0
2023-03-24 04:00:00+00:00,309.17,310.965,307.02,310.95,705942.0
2023-03-27 04:00:00+00:00,311.645,312.645,307.91,308.68,724433.0
2023-03-28 04:00:00+00:00,308.16,308.16,304.78,307.14,717556.0
2023-03-29 04:00:00+00:00,310.9,313.29,310.07,312.73,986317.0
2023-03-30 04:00:00+00:00,315.23,316.29,313.94,315.69,1302146.0
2023-03-31 04:00:00+00:00,315.92,321.16,315.66,320.83,1015000.0
2023-04-03 04:00:00+00:00,318.75,320.39,317.48,320.17,812455.0
2023-04-04 04:00:00+00:00,320.62,321.63,317.83,319.105,712960.0
2023-04-05 04:00:00+00:00,318.03,318.23,314.07,315.83,1091031.0
2023-04-06 04:00:00+00:00,314.19,318.54,312.88,318.11,789099.0
2023-04-10 04:00:00+00:00,315.08,317.87,313.25,317.77,726034.0
2023-04-11 04:00:00+00:00,317.8,317.8,315.36,315.79,569251.0
2023-04-12 04:00:00+00:00,317.84,318.4,312.57,312.95,926466.0
2023-04-13 04:00:00+00:00,314.85,319.65,314.66,319.24,853232.0
2023-04-14 04:00:00+00:00,317.57,320.33,315.64,318.59,946837.0
2023-04-17 04:00:00+00:00,318.17,319.185,316.15,318.77,658395.0
2023-04-18 04:00:00+00:00,321.05,321.36,317.65,318.85,632097.0
2023-04-19 04:00:00+00:00,316.29,319.64,316.28,318.77,548971.0
2023-04-20 04:00:00+00:00,315.62,319.26,314.975,316.29,976407.0
2023-04-21 04:00:00+00:00,315.85,317.39,314.13,316.66,575491.0
2023-04-24 04:00:00+00:00,316.33,317.72,313.74,315.91,674098.0
2023-04-25 04:00:00+00:00,314.28,314.97,309.92,309.92,780313.0
2023-04-26 04:00:00+00:00,313.4,314.935,311.34,311.88,853164.0
2023-04-27 04:00:00+00:00,315.74,320.85,315.05,320.37,1196713.0
2023-04-28 04:00:00+00:00,319.98,322.615,318.98,322.61,1189235.0
2023-05-01 04:00:00+00:00,322.09,323.58,321.11,322.205,703067.0
2023-05-02 04:00:00+00:00,322.12,322.42,317.69,319.26,813866.0
2023-05-03 04:00:00+00:00,319.75,322.38,317.2,317.355,490092.0
2023-05-04 04:00:00+00:00,317.04,318.21,315.15,316.19,705119.0
2023-05-05 04:00:00+00:00,318.36,323.74,318.11,322.89,869794.0
2023-05-08 04:00:00+00:00,322.44,324.03,321.34,323.72,364890.0
2023-05-09 04:00:00+00:00,322.105,322.82,321.35,321.56,438908.0
2023-05-10 04:00:00+00:00,324.12,326.01,321.62,325.2,901207.0
2023-05-11 04:00:00+00:00,325.71,326.745,324.14,326.115,485021.0
2023-05-12 04:00:00+00:00,326.74,327.15,322.95,325.06,704816.0
2023-05-15 04:00:00+00:00,325.53,327.03,323.99,326.75,673638.0
2023-05-16 04:00:00+00:00,326.04,328.9,326.04,327.16,614020.0
2023-05-17 04:00:00+00:00,328.245,331.685,327.08,331.2,572208.0
2023-05-18 04:00:00+00:00,331.52,337.49,331.52,337.255,786674.0
2023-05-19 04:00:00+00:00,337.59,338.165,335.44,336.44,707545.0
2023-05-22 04:00:00+00:00,336.34,338.61,336.245,337.575,472749.0
2023-05-23 04:00:00+00:00,335.92,337.025,333.02,333.32,621592.0
2023-05-24 04:00:00+00:00,331.26,332.88,329.585,331.55,1036731.0
2023-05-25 04:00:00+00:00,339.26,340.955,336.74,339.68,864846.0
2023-05-26 04:00:00+00:00,340.77,349.23,340.72,348.42,1048914.0
2023-05-30 04:00:00+00:00,352.84,353.895,348.57,349.9,1159352.0
2023-05-31 04:00:00+00:00,348.26,350.57,346.54,347.58,1041848.0
2023-06-01 04:00:00+00:00,347.73,353.305,346.68,352.0,519502.0
